"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"42.863","Torraye Braggs",27,28,1,3,27,"3.1"
"42.866","A.J. Bramlett",23,23,0,1,23,"1"
"42.869","Adrian Branch",23,26,3,4,25,"7.4"
"42.872","Elton Brand",20,36,16,5,26,"24.7"
"42.875","Terrell Brandon",21,31,10,4,26,"19.5"
"42.878","Bob Brannum",24,29,5,3,24,"Did Not Play (other pro league—NPBL)"
"42.881","Brad Branson",23,24,1,2,24,"5.5"
"42.884","Jesse Branson",24,26,2,3,26,"Did Not Play"
"42.887","Jim Brasco",21,21,0,3,21,"4.4"
"42.890","Mike Bratz",22,30,8,6,25,"10"
"42.893","Carl Braun",20,34,14,3,30,"Did Not Play (military service—U.S. Army)"
"42.896","Tim Breaux",24,27,3,3,24,"Did Not Play (other pro league—CBA)"
